Player,KilledBy,Weapon,Distance,Storm Phase,Timestamp,Match,Placed,Kills
Sak0ner,Tuckz,Shotgun,,1,6:44,2,78,0
Faxfox,Envy,Shotgun,,1,6:36,2,79,0
Maxalibur,Issa,Smg,,1,5:48,2,80,0
Rizart,Faah,Rifle,,1,5:46,2,81,0
Keolys,Razzzero0o,Trap,,1,5:30,2,82,0
Zayt,Mitr0,Shotgun,,1,5:04,2,83,0
Crippa,M11Z,Smg,,1,4:56,2,84,1
Jarkos,Beehive,Shotgun,,1,4:48,2,85,0
Fwexy,Villex,Smg,,1,4:41,2,86,0
Khuna,Julez,Rifle,,1,4:13,2,87,0
Myth,Crippa,Sniper,25,1,4:08,2,88,0
Smeef,Villex,Shotgun,,1,3:14,2,89,0
Lolito,x8,Shotgun,,1,3:14,2,90,0
Animal,Ares,Shotgun,,1,3:02,2,91,1
Inclyde,Poach,Shotgun,,1,2:27,2,92,0
Mushway,Vato,Rifle,,1,2:22,2,93,0
Bowman,K1nzell,Shotgun,,1,2:17,2,94,0
Aspect,Magin,Smg,,1,2:10,2,95,0
Zero7,Animal,Rifle,76,1,1:57,2,96,0
Nero,Tommo,Shotgun,,0,1:29,2,97,0
Svennoss,Airwaks,Pistol,,0,0:53,2,98,0
Marki,,DQ,,,,2,100,0
Pr0vokd,,DQ,,,,2,100,0
Julez,,,,9,,3,1,6
Mitr0,Julez,Shotgun,,9,23:40,3,2,0
Vato,Julez,Shotgun,,9,23:22,3,3,4
Itemm,Julez,,,9,22:42,3,4,3
Nikof,Itemm,,,9,22:42,3,5,2
Magin,,Storm,,9,22:40,3,6,5
Animal,Vato,Shotgun,,8,21:47,3,7,1
Razzzero0o,Itemm,,,7,21:31,3,8,0
Vinny1x,Vato,,,7,21:26,3,9,2
72hrs,,Storm,,7,21:24,3,10,1
Motor,,Storm,,7,21:23,3,11,1
Skram,,Storm,,7,21:09,3,12,2
Zayt,,Storm,,7,21:15,3,13,1
x2Jesse,Vinny1x,,,7,21:00,3,14,3
Funkbomb,x2Jesse,,,7,21:00,3,15,2
Beehive,Magin,,,7,20:59,3,16,1
Povity,,Storm,,7,20:58,3,17,2
Zero7,72hrs,,,7,20:56,3,18,1
Bowman,x2Jesse,,,7,20:50,3,19,3
Hoopek,Motor,,,7,20:46,3,20,2
x2Jordan,Funkbomb,,,7,20:45,3,21,3
Nate,,Storm,,6,20:34,3,22,2
Histtory,Zayt,Shotgun,,6,20:27,3,23,4
M11Z,Povity,,,6,20:27,3,24,0
Vivid,Itemm,Rifle,,6,20:26,3,25,1
Zeek,Bowman,Shotgun,,6,20:26,3,26,3
Svennoss,Histtory,Shotgun,,6,20:25,3,27,1
Blaxou,,Storm,,6,20:17,3,28,1
Skite,Animal,Shotgun,,6,20:12,3,29,1
Seth,,Storm,,6,20:07,3,30,1
Tschinken,Skram,Smg,,6,20:02,3,31,0
Kamo,x2Jordan,Shotgun,,6,19:59,3,32,0
x8,Bowman,Rifle,,6,19:56,3,33,2
Kinstaar,Magin,Smg,,6,19:54,3,34,1
Jarkos,Funkbomb,Shotgun,,6,19:54,3,35,1
Faxfox,Vato,Rifle,,6,19:53,3,36,0
Mirwana,Hoopek,Shotgun,,6,19:52,3,37,1
Ares,,Storm,,6,19:50,3,38,0
Alpha,Blaxou,Smg,,6,19:24,3,39,1
Lil Jay,Seth,Shotgun,,6,19:20,3,40,1
Jamside,Zeek,Rifle,67,6,19:19,3,41,3
Boyer,Jamside,Rifle,,5,19:09,3,42,0
Inclyde,Vinny1x,Rifle,,5,19:08,3,43,2
Maxalibur,Julez,Shotgun,,5,19:01,3,44,0
Cloud,Alpha,Smg,,5,18:55,3,45,1
Envy,Julez,Rifle,,5,18:52,3,46,0
Dmo,Nate,Rifle,,5,18:32,3,47,1
Tuckz,Kinstaar,Shotgun,,5,18:29,3,48,1
Kejser,x8,Rifle,,5,18:21,3,49,0
Madzen,Jamside,,,5,18:16,3,50,1
Nero,Madzen,,,5,18:01,3,51,1
Saf,DMO,,,5,17:52,3,52,1
Stompy,Cloud,,,5,17:41,3,53,0
Andeeza,Saf,,,5,17:36,3,54,0
Bloodx,Skram,,,5,17:31,3,55,0
Rizart,Magin,Rifle,,4,17:00,3,56,0
Aimhero_o,Tuckz,Shotgun,,4,16:49,3,57,1
Viallinen,Magin,Shotgun,,4,16:29,3,58,0
Lolito,Skite,Rifle,,4,15:46,3,59,0
Milan,Zero7,Rifle,78,4,15:36,3,60,2
Tommo,Lil Jay,Smg,86,3,14:48,3,61,2
Faah,Histtory,Shotgun,,3,14:47,3,62,0
Crippa,Povity,Rifle,59,3,14:44,3,63,1
Windwalker,Hoopek,Rifle,79,3,14:41,3,64,0
Xlsma,Histtory,Smg,,3,14:33,3,65,0
Sinooh,Jamside,StinkGrenade,,3,14:16,3,66,2
Hunter,Vato,Shotgun,,3,14:16,3,67,0
Zexrow,Sinooh,Smg,,3,14:01,3,68,0
7ssk7,x8,Shotgun,,3,13:15,3,69,0
Taiovsky,Nero,StinkGrenade,,3,12:19,3,70,0
Sk1x,Histtory,Smg,,2,11:22,3,71,0
Pr0vokd,Beehive,Smg,,2,10:21,3,72,0
Ryux,Tommo,Rifle,128,2,10:14,3,73,0
Poach,Inclyde,Shotgun,,2,9:46,3,74,0
Issa,Aimhero_o,Shotgun,,2,8:58,3,75,1
Chap,Jarkos,Rifle,,2,8:06,3,76,1
Mushway,Milan,Shotgun,,1,7:28,3,77,0
Coffeh,Magin,StinkGrenade,,1,7:26,3,78,0
Domentos,x2Jordan,Rifle,,1,7:20,3,79,0
Teeqzy,Zeek,Rifle,53,1,7:09,3,80,1
TheVic,Mirwana,Shotgun,,1,6:56,3,81,0
Crazy Llama,Nikof,Shotgun,,1,6:04,3,82,0
Noward,Inclyde,Smg,,1,6:02,3,83,0
Villex,Nikof,Shotgun,,1,5:19,3,84,0
Airwaks,Svennoss,Rifle,113,1,5:17,3,85,0
Fwexy,Vivid,Pistol,,1,4:39,3,86,0
Khuna,Julez,Shotgun,,1,4:28,3,87,0
Pow3r,Nate,Smg,,1,4:25,3,88,0
Aspect,Issa,Shotgun,,1,3:48,3,89,0
Keolys,Milan,Smg,,1,3:41,3,90,0
Myth,Crippa,Smg,,1,3:20,3,91,0
K1nzell,Bowman,Rifle,,1,3:16,3,92,0
Aydan,Tommo,Shotgun,,1,3:03,3,93,0
Bizzle,x2Jesse,Smg,,1,3:00,3,94,0
Eryc,x2Jordan,StinkGrenade,,1,2:39,3,95,0
Marki,Chap,Pickaxe,,1,1:37,3,96,0
Sak0ner,Zeek,Rifle,,0,1:27,3,97,0
Jarl,Sinooh,Rifle,,0,0:56,3,98,0
Zyppaan,Teeqzy,Shotgun,,0,0:47,3,99,0
Smeef,DQ,,,,,3,100,0
Aimhero_o,,,,9,,4,1,4
Histtory,Aimhero_o,,,9,23:27,4,2,6
Jarkos,Aimhero_o,,,9,23:21,4,3,4
Issa,Jarkos,,,9,22:51,4,4,5
Magin,Histtory,,,8,22:20,4,5,4
Vinny1x,Aimhero_o,,,8,22:18,4,6,3
72hrs,,Storm,,8,21:50,4,7,1
Zayt,Issa,,,8,21:46,4,8,2
Villex,Histtory,,,8,21:43,4,9,4
Ares,72hrs,,,7,21:36,4,10,3
Zyppaan,Vinny1x,,,7,21:34,4,11,1
Bizzle,Jarkos,Rifle,,7,21:20,4,12,1
Zero7,Aimhero_o,Shotgun,,7,21:20,4,13,1
Skram,Histtory,Shotgun,,7,21:08,4,14,3
Milan,Zero7,Shotgun,,7,21:08,4,15,3
x8,Milan,Shotgun,,7,21:05,4,16,0
Domentos,Skram,Rifle,,7,21:04,4,17,0
Beehive,Zyppaan,Shotgun,,7,21:01,4,18,1
Saf,Ares,Shotgun,,7,20:56,4,19,0
Noward,Magin,Rifle,,7,20:51,4,20,2
Teeqzy,Villex,FallDamage,17,7,20:49,4,21,0
Vivid,Beehive,Shotgun,,7,20:46,4,22,1
Motor,,Storm,,6,20:37,4,23,2
Bloodx,Bizzle,Shotgun,,6,20:36,4,24,0
Crazy Llama,Motor,Shotgun,,6,20:31,4,25,1
Itemm,Magin,Shotgun,,6,20:30,4,26,1
Madzen,Crazy Llama,Smg,,6,20:28,4,27,3
Funkbomb,Milan,Rifle,,6,20:26,4,28,0
Smeef,,Storm,,6,20:20,4,29,2
Chap,Histtory,Shotgun,,6,20:18,4,30,0
Kamo,Ares,Sniper,24,6,20:09,4,31,1
Skite,Madzen,Smg,,6,20:07,4,32,0
Sak0ner,,Storm,,6,20:06,4,33,0
Windwalker,Kamo,Shotgun,,6,19:58,4,34,1
Xlsma,Itemm,Shotgun,,6,19:58,4,35,2
Seth,Smeef,Shotgun,,6,19:57,4,36,0
Animal,Skram,Rifle,,6,19:47,4,37,2
TheVic,Motor,Shotgun,,5,19:09,4,38,0
Kejser,Zayt,StinkGrenade,,5,18:45,4,39,0
Mirwana,Vinny1x,Pistol,52,5,18:41,4,40,1
Inclyde,Noward,Splode,,5,18:40,4,41,1
Keolys,Inclyde,Smg,,5,18:35,4,42,3
Vato,Vinny1x,Rifle,,5,18:03,4,43,0
Nate,Keolys,Smg,,5,17:50,4,44,0
M11Z,Issa,Smg,,4,17:00,4,45,1
Cloud,Vivid,Shotgun,,4,16:52,4,46,0
Pr0vokd,M11Z,Rifle,,4,16:39,4,47,1
Blaxou,,Storm,,4,16:25,4,48,0
Taiovsky,Villex,Rifle,,4,16:23,4,49,0
Svennoss,Milan,Rifle,,4,15:27,4,50,1
Kinstaar,Pr0vokd,Rifle,,4,15:24,4,51,1
Airwaks,Xlsma,Rifle,,4,15:23,4,52,0
Envy,Jarkos,Rifle,53,4,15:04,4,53,1
Andeeza,Smeef,Rifle,,3,14:50,4,54,0
Mitr0,Svennoss,Rifle,,3,14:41,4,55,1
Fwexy,Magin,Smg,,3,14:25,4,56,2
Coffeh,Histtory,Rifle,54,3,14:18,4,57,0
Aydan,,Storm,,3,14:00,4,58,1
Nero,,FallDamage,16,3,13:49,4,59,0
Khuna,Aydan,Rifle,,3,13:34,4,60,0
x2Jesse,Mitr0,Shotgun,,3,13:21,4,61,0
Myth,Noward,Smg,,3,12:55,4,62,0
Povity,,Storm,,3,12:07,4,63,1
Tschinken,Magin,Shotgun,,3,12:00,4,64,0
Julez,Kinstaar,Smg,61,3,12:00,4,65,1
Dmo,Animal,Sniper,110,3,11:57,4,66,0
Ryux,,Splode,,2,11:27,4,67,0
Tuckz,Povity,Rifle,,2,11:24,4,68,1
Marki,Keolys,Sniper,,2,11:16,4,69,0
Alpha,Issa,Rifle,,2,11:11,4,70,1
Hoopek,Skram,Shotgun,,2,10:47,4,71,0
Zeek,Tuckz,Shotgun,,2,9:50,4,72,0
Boyer,Mirwana,Smg,,2,9:39,4,73,0
Jamside,Jarkos,Smg,,2,9:31,4,74,0
Crippa,Xlsma,Sniper,151,2,8:55,4,75,0
Eryc,Julez,Shotgun,,2,8:27,4,76,1
Faxfox,Animal,Sniper,60,2,8:24,4,77,0
Sinooh,Zayt,Shotgun,,1,7:47,4,78,0
Jarl,Envy,Shotgun,,1,7:45,4,79,2
Poach,Madzen,Shotgun,,1,7:15,4,80,0
Zexrow,Issa,Rifle,,1,7:06,4,81,0
Mushway,Alpha,Shotgun,,1,5:23,4,82,0
Nikof,Fwexy,StinkGrenade,,1,5:17,4,83,0
K1nzell,Ares,Shotgun,,1,4:42,4,84,1
x2Jordan,Eryc,Trap,,1,4:28,4,85,0
Lolito,Madzen,Sniper,56,1,4:24,4,86,0
Pow3r,Windwalker,Shotgun,,1,4:24,4,87,0
Maxalibur,K1nzell,Shotgun,,1,4:06,4,88,1
Rizart,Villex,Shotgun,,1,3:27,4,89,0
Hunter,Jarl,Smg,,1,3:14,4,90,0
7ssk7,Histtory,Shotgun,,1,3:10,4,91,0
Bowman,Issa,Pistol,,1,3:00,4,92,0
Razzzero0o,Maxalibur,Shotgun,,1,2:56,4,93,0
Stompy,Keolys,Shotgun,,1,2:42,4,94,0
Sk1x,Jarl,Pistol,130,1,2:42,4,95,0
Lil Jay,,Splode,,1,2:26,4,96,0
Faah,Villex,Trap,,1,2:04,4,97,0
Viallinen,Fwexy,Rifle,,0,0:57,4,98,0
Aspect,,,,,,4,100,0
Tommo,,,,,,4,100,0
Skram,,,,9,,5,1,3
Blaxou,,Storm,,9,23:40,5,2,4
TheVic,Blaxou,,,9,23:15,5,3,3
Mitr0,,Storm,,9,22:42,5,4,3
Aydan,,Storm,,9,22:40,5,5,6
Tuckz,Mitr0,,,9,22:37,5,6,1
Coffeh,Aydan,,,9,22:27,5,7,3
Bizzle,,FallDamage,,9,22:26,5,8,4
Vato,Bizzle,,,8,22:22,5,9,1
Aspect,TheVic,,,8,22:01,5,10,5
Funkbomb,Aspect,,,8,21:53,5,11,5
Nero,Funkbomb,,,8,21:51,5,12,1
x2Jordan,Aydan,Rifle,,8,21:48,5,13,1
Magin,Skram,Shotgun,,8,21:42,5,14,1
Saf,Mitr0,Shotgun,,7,21:29,5,15,1
Bloodx,Vato,Shotgun,,7,20:53,5,16,0
Beehive,Aydan,Smg,,7,20:52,5,17,1
Chap,Blaxou,Smg,,7,20:51,5,18,0
Seth,Aspect,Shotgun,,7,20:50,5,19,1
Povity,Skram,Shotgun,,7,20:46,5,20,1
Nate,,FallDamage,15,7,20:46,5,21,1
Vivid,Bizzle,Shotgun,,6,20:43,5,22,3
K1nzell,TheVic,Shotgun,,6,20:42,5,23,1
Villex,Mitr0,Minigun,,6,20:38,5,24,2
Svennoss,Funkbomb,Shotgun,,6,20:37,5,25,0
Jarl,Beehive,Shotgun,,6,20:34,5,26,0
Stompy,TheVic,Shotgun,,6,20:25,5,27,0
Itemm,Vivid,Smg,,6,20:24,5,28,0
Skite,Povity,Rifle,,6,20:00,5,29,0
Zyppaan,,Storm,,6,20:00,5,30,2
Animal,,FallDamage,23,6,19:58,5,31,2
Keolys,,Storm,,6,19:58,5,32,1
x8,Seth,Smg,,6,19:56,5,33,1
Motor,,Storm,,6,19:54,5,34,0
Dmo,Funkbomb,Shotgun,,6,19:47,5,35,2
Windwalker,Coffeh,Shotgun,,6,19:45,5,36,0
Zayt,K1nzell,Shotgun,,6,19:41,5,37,1
Ryux,Skram,Shotgun,,6,19:40,5,38,0
Histtory,Magin,Rifle,,6,19:35,5,39,3
Julez,Animal,Shotgun,,6,19:24,5,40,2
Poach,Aspect,Sniper,15,6,19:23,5,41,1
Kejser,Funkbomb,Pistol,,6,19:19,5,42,1
Pr0vokd,Tuckz,Smg,,5,19:14,5,43,1
Sinooh,Blaxou,Shotgun,,5,19:04,5,44,1
Zero7,Zayt,Shotgun,,5,18:57,5,45,0
Airwaks,Bizzle,Splode,70,5,18:52,5,46,0
Zeek,Funkbomb,Sniper,11,5,18:50,5,47,0
Razzzero0o,Aspect,Sniper,12,5,18:33,5,48,0
Aimhero_o,Julez,Rifle,,5,18:20,5,49,0
Kinstaar,Bizzle,Rifle,,5,18:02,5,50,0
Zexrow,,StormSurge,,5,18:00,5,51,0
Pow3r,Vivid,Rifle,79,5,17:52,5,52,0
Smeef,,StormSurge,,5,17:37,5,53,0
Taiovsky,Coffeh,Rifle,65,4,17:10,5,54,0
Faah,Vivid,Shotgun,,4,17:04,5,55,0
Andeeza,Nate,Shotgun,,4,16:43,5,56,0
Khuna,Villex,Rifle,,4,16:14,5,57,3
72hrs,Keolys,Rifle,86,4,16:14,5,58,0
Sk1x,Kejser,Rifle,,4,15:56,5,59,0
Crippa,Histtory,Smg,,4,15:47,5,60,1
Domentos,Histtory,Smg,,4,15:37,5,61,0
Alpha,Aspect,Sniper,85,4,15:34,5,62,0
Hoopek,Blaxou,Shotgun,,4,15:12,5,63,1
Fwexy,Khuna,Smg,,4,15:00,5,64,1
Bowman,Animal,Rifle,,3,14:46,5,65,1
Noward,Zyppaan,Rifle,,3,14:30,5,66,1
Marki,Khuna,Sniper,18,3,14:23,5,67,0
Crazy Llama,Saf,Rifle,,3,14:02,5,68,1
Xlsma,Fwexy,Shotgun,,3,13:13,5,69,0
Faxfox,Pr0vokd,Shotgun,,3,12:46,5,70,1
Teeqzy,Dmo,Sniper,24,3,12:30,5,71,1
x2Jesse,Zyppaan,Smg,,3,12:26,5,72,0
Tschinken,Hoopek,,,3,12:25,5,73,0
Lil Jay,,StormSurge,,3,12:25,5,74,0
Ares,Villex,Rifle,,3,12:03,5,75,0
M11Z,Crazy Llama,Shotgun,,3,11:58,5,76,0
Jarkos,x8,Shotgun,,2,11:28,5,77,0
Vinny1x,Nero,Rifle,,2,10:56,5,78,0
Envy,Sinooh,Smg,,2,10:32,5,79,1
Viallinen,Dmo,Sniper,122,2,10:14,5,80,0
Mirwana,Crippa,Rifle,,2,9:56,5,81,0
Sak0ner,Coffeh,FallDamage,22,1,5:30,5,82,0
7ssk7,Histtory,Shotgun,,1,5:22,5,83,0
Maxalibur,Aydan,Shotgun,,1,5:10,5,84,1
Lolito,,FallDamage,27,1,5:00,5,85,0
Myth,Noward,Shotgun,,1,4:59,5,86,0
Kamo,Faxfox,Smg,,1,4:59,5,87,0
Jamside,Envy,StinkGrenade,,1,4:22,5,88,0
Madzen,Poach,Rifle,,1,4:07,5,89,0
Issa,Bowman,Shotgun,,1,3:54,5,90,0
Hunter,,FallDamage,,1,3:46,5,91,0
